cycle,n,area_sim,area_expected,V_hom,f_dot,dNdt,dMdt,M,anomaly
0,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-39687.034151,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
1,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-79375.068302,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
2,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-119063.102452,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
3,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-158751.136603,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
4,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-198439.170754,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
5,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-238127.204905,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
6,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-277815.239055,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
7,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-317503.273206,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
8,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-357191.307357,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
9,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-396879.341508,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
10,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-436567.375659,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
11,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-476255.409809,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
12,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-515943.443960,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
13,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-555631.478111,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
14,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-595319.512262,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
15,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-635007.546413,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
16,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-674695.580563,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
17,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-714383.614714,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
18,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-754071.648865,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
19,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-793759.683016,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
20,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-833447.717166,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
21,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-873135.751317,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
22,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-912823.785468,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
23,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-952511.819619,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
24,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-992199.853770,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
25,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-1031887.887920,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
26,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-1071575.922071,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
27,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-1111263.956222,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
28,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-1150951.990373,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
29,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-1190640.024524,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
30,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1230328.058674,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
31,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-1270016.092825,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
32,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-1309704.126976,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
33,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-1349392.161127,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
34,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-1389080.195277,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
35,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-1428768.229428,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
36,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-1468456.263579,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
37,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1508144.297730,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
38,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-1547832.331881,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
39,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-1587520.366031,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
40,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-1627208.400182,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
41,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1666896.434333,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
42,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-1706584.468484,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
43,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-1746272.502634,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
44,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-1785960.536785,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
45,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-1825648.570936,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
46,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1865336.605087,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
47,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1905024.639238,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
48,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1944712.673388,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
49,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-1984400.707539,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
50,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2024088.741690,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
51,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-2063776.775841,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
52,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-2103464.809992,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
53,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2143152.844142,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
54,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2182840.878293,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
55,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-2222528.912444,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
56,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2262216.946595,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
57,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-2301904.980745,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
58,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2341593.014896,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
59,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2381281.049047,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
60,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2420969.083198,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
61,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-2460657.117349,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
62,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-2500345.151499,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
63,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2540033.185650,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
64,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2579721.219801,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
65,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-2619409.253952,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
66,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-2659097.288103,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
67,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-2698785.322253,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
